player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Khem Birch,birchkh01,2022,RS,TOR,2011,991,-2.161271620724704,.3544585317363907,-1.806813088988314,1.465322091854024,-3.507024044206808,-2.041701952352784,-1.564598574264532,-.4458831488151347,-2.010481723079667,.3709279445704671,.3709279445704671,0,-2.294732992756118,.4232096521785426,-1.871523340577575,-.7966285021825581
Goga Bitadze,bitadgo01,2022,RS,IND,1529,729,.1681205416344463,-2.631354081332203,-2.463233539697757,1.509405445135865,-2.310194753973273,-.8007893088374081,.4621685287421802,-2.647632810526068,-2.185464281783888,.2115697197406046,.2115697197406046,0,.2825059946546662,-3.095961000888701,-2.813455006234034,.7614010087410717
Bismack Biyombo,biyombi01,2022,PO,PHO,173,86,-1.545374381152906,-4.911945621047149,-6.457320002200055,-.0076175970020318,9.475007966211596,9.467390369209564,-1.354147152119494,-2.135639917925336,-3.48978707004483,-.0339871576036509,0,-.0339871576036509,-1.686252787912397,-3.80250579921009,-5.488758587122486,1.4832326889271
Bismack Biyombo,biyombi01,2022,RS,PHO,1048,506,-2.293621013407883,.385961317890906,-1.907659695516977,-.5028975867313465,.4784424257069125,-.024455161024434,-2.096694277050249,.3387080268367049,-1.757986250213544,.2545334428658729,.2545334428658729,0,-2.38182032562856,.8536793091872085,-1.528141016441352,-.6115054468677028
Nemanja Bjelica,bjeline01,2022,PO,GSW,178,85,-4.807353157192016,-2.973053229158141,-7.780406386350156,-7.848102324963333,-4.343947146206103,-12.19204947116944,-5.807974587672743,-3.497915008144709,-9.305889595817453,-.2936971920001413,0,-.2936971920001413,-4.645340255292965,-3.173743791771155,-7.81908404706412,.1568736278565765
Nemanja Bjelica,bjeline01,2022,RS,GSW,2364,1142,-.9205123877492636,1.998495954406879,1.077983566657616,-.8759231774409757,.4896091657215804,-.3863140117193953,-.9828777239820419,1.680512845649489,.697635121667447,2.015334082431188,2.015334082431188,0,-.6628734021024614,2.192538642569384,1.529665240466923,.3273256500882625
Eric Bledsoe,bledser01,2022,RS,LAC,2830,1361,-1.888195499204085,2.003327642011045,.1151321428069594,-3.055784790263924,1.7069099616385,-1.348874828625424,-2.224804464692411,2.041472186687226,-.1833322780051847,1.789533126163309,1.789533126163309,0,-1.698596389302678,1.99373558428789,.2951391949852122,.4087508725788297
Keljin Blevins,blevike01,2022,RS,POR,733,349,-6.268812306593546,-5.729686327070977,-11.99849863366452,-3.608918904622368,-7.734535640190747,-11.34345454481311,-6.027791441125691,-6.403275575159941,-12.43106701628563,-1.715172801322923,-1.715172801322923,0,-5.818442670388341,-6.8002421035235,-12.61868477391184,-.5010012128633229
Bogdan Bogdanovic,bogdabo01,2022,PO,ATL,211,107,6.424685764378466,-3.357561856209823,3.067123908168643,8.021966678976154,-1.148882870928808,6.873083808047346,7.21758201007986,-3.061726550379069,4.15585545970079,.3902377081160335,0,.3902377081160335,5.830380028769634,-3.714760328302651,2.115619700466983,.3546139452870765
Bogdan Bogdanovic,bogdabo01,2022,RS,ATL,3807,1848,2.633949161018545,-.7702562755096374,1.863692885508907,2.034576687646782,.8175047752816353,2.852081462928417,2.613489016364664,-.4593692617072098,2.154119754657454,4.604265506884418,4.604265506884418,0,3.02775842380139,-.0022149308451951,3.025543492956195,-.4235088825541476
